Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,91,67.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,91.5,69.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,90.4,66
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,67.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.4,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,91.9,71.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.6,69.8
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.5,69.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.3,68
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.1,73.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.2,64.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.9,63.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.1,62.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,92.2,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,93.5,80.5
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,91.1,69.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,91.7,71.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,90.5,67.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,68.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.5,70.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,92,72.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.8,71.9
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.9,72.6
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.8,71.8
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.3,74.1
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.6,66.4
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.8,64.6
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.3,63.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,94,84
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,95.4,88.5
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,88.9,55.7
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,89.4,57.5
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,88.4,53.7
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,89,55.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,89.3,57.8
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,89.7,59.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,89.5,58.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,89.6,58.2
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,89.2,56.1
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,90,59.9
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,88.4,52.7
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,88,51.6
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,87.1,50.3
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,91.2,67
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,91.5,61.2
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,93.8,83
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,94.3,84.9
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,93.3,80.8
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,94,83
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,94.3,84.7
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,94.5,85.9
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,94.4,85.6
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,94.5,85.5
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,94.2,84.3
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,94.9,87.5
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,93.6,82
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,92.7,78.1
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,91.9,75
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,95.4,93.3
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,95.2,82.8
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,93.2,79.1
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,93.4,79.7
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,92.9,78.3
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,93.1,78
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,93.3,79.2
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,93.7,81
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,93.5,79.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,93.6,80.8
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,93.3,79.7
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,94.3,84.1
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,92.9,77.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,92.5,76.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,91.9,74.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,94.1,82.2
