hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y23H5220109,Y23H5220109P03,Y23H5220109P03JTE001,Weekday,FROM_HOME,Y23H5220109P03S01,465,Kingston (C),TO_EDUCATION,Y23H5220109P03S01,480.0,Monash (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,22.02059,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,22.02059,15.0,2250.556717925,MELB - Outer,Greater Melbourne
Y23H5220123,Y23H5220123P03,Y23H5220123P03JTE002,Weekday,FROM_HOME,Y23H5220123P03S01,520,Kingston (C),TO_EDUCATION,Y23H5220123P03S01,521.0,Kingston (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,521.0,,,,,,,,,,,,,,,0.2966,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Walking,1,0.2966,1.0,2369.802169666,MELB - Middle,Greater Melbourne
Y23H5220123,Y23H5220123P04,Y23H5220123P04JTE003,Weekday,FROM_HOME,Y23H5220123P04S01,520,Kingston (C),TO_EDUCATION,Y23H5220123P04S01,521.0,Kingston (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,521.0,,,,,,,,,,,,,,,0.2966,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Walking,1,0.2966,1.0,1844.984304076,MELB - Middle,Greater Melbourne
Y23H5220202,Y23H5220202P03,Y23H5220202P03JTE004,Weekday,FROM_HOME,Y23H5220202P03S01,617,Maroondah (C),TO_EDUCATION,Y23H5220202P03S03,685.0,Melbourne (C),Vehicle Driver,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,617.0,635.0,678.0,,,,,,,,,,,,,627.0,678.0,685.0,,,,,,,,,,,,,3.61284,32.46829,0.51702,,,,,,,,,,,,,10.0,43.0,7.0,,,,,,,,,,,,,Train,60,36.59815,68.0,1784.951205558,MELB - Outer,Greater Melbourne
Y23H5220309,Y23H5220309P03,Y23H5220309P03JTE005,Weekday,FROM_HOME,Y23H5220309P03S01,470,Stonnington (C),TO_EDUCATION,Y23H5220309P03S01,490.0,Stonnington (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,1.66152,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Walking,20,1.66152,20.0,2055.721860068,MELB - Inner,Greater Melbourne
Y23H5220310,Y23H5220310P03,Y23H5220310P03JTE006,Weekday,FROM_HOME,Y23H5220310P03S01,480,Stonnington (C),TO_EDUCATION,Y23H5220310P03S03,510.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,480.0,485.0,500.0,,,,,,,,,,,,,485.0,500.0,510.0,,,,,,,,,,,,,0.21067,3.01332,0.27137,,,,,,,,,,,,,5.0,15.0,10.0,,,,,,,,,,,,,Tram,30,3.49536,30.0,731.728525426,MELB - Inner,Greater Melbourne
Y23H5220310,Y23H5220310P04,Y23H5220310P04JTE007,Weekday,FROM_HOME,Y23H5220310P04S01,470,Stonnington (C),TO_EDUCATION,Y23H5220310P04S03,495.0,Glen Eira (C),Walking,School Bus,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,470.0,476.0,490.0,,,,,,,,,,,,,475.0,490.0,495.0,,,,,,,,,,,,,0.37045,4.55075,0.46058,,,,,,,,,,,,,5.0,14.0,5.0,,,,,,,,,,,,,School Bus,24,5.38178,25.0,1128.732672667,MELB - Inner,Greater Melbourne
Y23H5220310,Y23H5220310P05,Y23H5220310P05JTE008,Weekday,FROM_HOME,Y23H5220310P05S01,505,Stonnington (C),TO_EDUCATION,Y23H5220310P05S01,528.0,Port Phillip (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,528.0,,,,,,,,,,,,,,,7.01114,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,Vehicle Passenger,23,7.01114,23.0,1512.920689212,MELB - Inner,Greater Melbourne
Y23H5220438,Y23H5220438P03,Y23H5220438P03JTE009,Weekday,FROM_HOME,Y23H5220438P03S01,506,Darebin (C),TO_EDUCATION,Y23H5220438P03S01,511.0,Yarra (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,1.37031,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,1.37031,5.0,491.547344853,MELB - Inner,Greater Melbourne
Y23H5230104,Y23H5230104P03,Y23H5230104P03JTE010,Weekday,FROM_HOME,Y23H5230104P03S01,500,Casey (C),TO_EDUCATION,Y23H5230104P03S01,510.0,Casey (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,4.69953,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,4.69953,10.0,1281.867261727,MELB - Outer,Greater Melbourne
