LGA_Name,School_Count
Casey City,90
Greater Geelong City,84
Yarra Ranges Shire,78
Hume City,72
Wyndham City,69
Brimbank City,59
Whittlesea City,58
Boroondara City,57
Monash City,54
Greater Bendigo City,51
Whitehorse City,51
Mornington Peninsula Shire,49
Ballarat City,48
Knox City,48
Melton City,47
Kingston City,45
Merri-bek City,45
Darebin City,44
Greater Dandenong City,43
Banyule City,42
Frankston City,42
Cardinia Shire,41
Greater Shepparton City,40
Baw Baw Shire,36
Moonee Valley City,36
Glen Eira City,35
Latrobe City,35
East Gippsland Shire,33
Maroondah City,33
Wellington Shire,33
Manningham City,31
Mildura Rural City,31
Hobsons Bay City,29
Bayside City,28
Nillumbik Shire,28
Yarra City,28
Macedon Ranges Shire,27
Melbourne City,25
Campaspe Shire,24
Stonnington City,24
Wangaratta Rural City,24
Port Phillip City,22
South Gippsland Shire,22
Maribyrnong City,21
Moira Shire,20
Glenelg Shire,18
Moorabool Shire,18
Southern Grampians Shire,18
Colac-Otway Shire,17
Indigo Shire,17
Mitchell Shire,17
Wodonga City,16
Bass Coast Shire,15
Mount Alexander Shire,15
Warrnambool City,15
Corangamite Shire,14
Murrindindi Shire,14
Swan Hill Rural City,14
Golden Plains Shire,13
Hepburn Shire,13
Moyne Shire,13
Northern Grampians Shire,13
Surf Coast Shire,13
Ararat Rural City,12
Yarriambiack Shire,12
Alpine Shire,11
Gannawarra Shire,11
Towong Shire,10
Buloke Shire,9
Loddon Shire,9
Pyrenees Shire,9
Central Goldfields Shire,8
Hindmarsh Shire,8
Horsham Rural City,8
Strathbogie Shire,8
Benalla Rural City,7
Mansfield Shire,7
West Wimmera Shire,5
