Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Years 1-10,88,57.4
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Years 1-6,89.6,61.6
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Years 7-10,85.6,50.9
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 1,89.6,61.9
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 2,89.9,63.4
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 3,90,63.3
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 4,89.9,62.3
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 5,89.3,60.4
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 6,89,58.4
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 7,88.1,58
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 8,85.3,48.3
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 9,84.4,47.5
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Year 10,84.8,50
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Primary Ungraded,82.1,40
2024,Victoria,Government,Male,Major Cities,All,Males in Major cities,Secondary Ungraded,79.5,43.7
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Years 1-10,85.8,51.3
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Years 1-6,88.8,59.1
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Years 7-10,80.6,37.8
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 1,89.6,61.6
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 2,89.8,62.2
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 3,89.5,61.7
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 4,88.7,59.1
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 5,88.4,57
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 6,87.2,53.4
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 7,84,44.7
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 8,81.1,36
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 9,78.6,33.6
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Year 10,79.1,37.3
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Primary Ungraded,84.4,47.8
2024,Victoria,Government,Male,Inner Regional,All,Males in Inner regional,Secondary Ungraded,80.9,43.8
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Years 1-10,85.9,51.4
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Years 1-6,88.2,57.6
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Years 7-10,82.9,42.6
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 1,88.6,60.2
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 2,88.5,58.5
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 3,88.5,57.2
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 4,89,59.7
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 5,87.5,56.4
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 6,87.1,54.2
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 7,85.6,48.1
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 8,82.5,40.5
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 9,81.6,38.4
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Year 10,82.2,43.4
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Primary Ungraded,82.2,48
2024,Victoria,Government,Male,Outer Regional,All,Males in Outer regional,Secondary Ungraded,79.2,42.3
2024,Victoria,Government,Male,Remote,All,Males in Remote,Years 1-10,88.3,55
2024,Victoria,Government,Male,Remote,All,Males in Remote,Years 1-6,88.8,49.1
2024,Victoria,Government,Male,Remote,All,Males in Remote,Years 7-10,87.7,61
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 1,89.7,50
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 2,91.6,60
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 3,89,38.5
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 4,83.2,35.9
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 5,89,53.8
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 6,92,68.9
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 7,87.6,76.7
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 8,89.5,57.1
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 9,89.6,59.3
2024,Victoria,Government,Male,Remote,All,Males in Remote,Year 10,82.2,56.3
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Years 1-10,78.9,37
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Years 1-6,83.3,43.6
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Years 7-10,71.8,25
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 1,83.7,45
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 2,84.4,45.9
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 3,83.5,43.3
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 4,84.5,45.3
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 5,82.4,41
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 6,81.1,41
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 7,76.9,29.5
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 8,71.3,23.7
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 9,68.7,20.8
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Year 10,70.1,26.1
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Primary Ungraded,80.8,46.5
2024,Victoria,Government,Male,All,Aboriginal and Torres Strait Islander,Male Aboriginal and Torres Strait Islander,Secondary Ungraded,75.2,37.9
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Years 1-10,87.8,56.6
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Years 1-6,89.6,61.5
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Years 7-10,85,48.9
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 1,89.7,62.3
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 2,90,63.4
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 3,90.1,63.3
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 4,89.8,62.1
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 5,89.2,60.1
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 6,88.8,57.7
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 7,87.6,56.1
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 8,84.8,46.4
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 9,83.7,45.4
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Year 10,84,48
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Primary Ungraded,82.5,41.1
2024,Victoria,Government,Male,All,Non-Indigenous,Male Non-Indigenous,Secondary Ungraded,80.2,44
2024,Victoria,Government,Male,All,Gap,Male Gap,Years 1-10,8.9,19.6
2024,Victoria,Government,Male,All,Gap,Male Gap,Years 1-6,6.3,17.9
2024,Victoria,Government,Male,All,Gap,Male Gap,Years 7-10,13.3,23.9
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 1,6,17.4
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 2,5.5,17.5
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 3,6.6,20.1
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 4,5.3,16.8
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 5,6.8,19.2
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 6,7.7,16.7
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 7,10.7,26.6
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 8,13.5,22.7
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 9,14.9,24.6
2024,Victoria,Government,Male,All,Gap,Male Gap,Year 10,13.9,21.9
2024,Victoria,Government,Male,All,Gap,Male Gap,Primary Ungraded,1.7,-5.4
2024,Victoria,Government,Male,All,Gap,Male Gap,Secondary Ungraded,5,6.2
2024,Victoria,Government,Male,All,All,Male,Years 1-10,87.5,56.1
2024,Victoria,Government,Male,All,All,Male,Years 1-6,89.4,61
2024,Victoria,Government,Male,All,All,Male,Years 7-10,84.6,48.2
2024,Victoria,Government,Male,All,All,Male,Year 1,89.5,61.8
2024,Victoria,Government,Male,All,All,Male,Year 2,89.8,63
2024,Victoria,Government,Male,All,All,Male,Year 3,89.9,62.8
2024,Victoria,Government,Male,All,All,Male,Year 4,89.6,61.7
2024,Victoria,Government,Male,All,All,Male,Year 5,89,59.6
2024,Victoria,Government,Male,All,All,Male,Year 6,88.6,57.3
2024,Victoria,Government,Male,All,All,Male,Year 7,87.3,55.3
2024,Victoria,Government,Male,All,All,Male,Year 8,84.4,45.7
2024,Victoria,Government,Male,All,All,Male,Year 9,83.2,44.6
2024,Victoria,Government,Male,All,All,Male,Year 10,83.6,47.4
2024,Victoria,Government,Male,All,All,Male,Primary Ungraded,82.4,41.4
2024,Victoria,Government,Male,All,All,Male,Secondary Ungraded,79.8,43.6
2024,Victoria,Government,Female,Major Cities,All,Females in Major cities,Years 1-10,88.1,58.2
