Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,Government,All,Major Cities,All,Major cities,Years 1-10,88,57.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Years 1-6,89.8,62.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Years 7-10,85.2,50
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 1,89.7,62.6
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 2,90,63.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 3,90.1,63.9
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 4,90,63.2
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 5,89.5,61.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 6,89.2,59.5
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 7,88.1,58
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 8,84.8,47.1
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 9,83.8,46.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 10,84.3,48.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Primary Ungraded,82.1,41
2024,Victoria,Government,All,Major Cities,All,Major cities,Secondary Ungraded,79.2,42.5
2024,Victoria,Government,All,Remote,All,Remote,Years 1-10,88.5,55.9
2024,Victoria,Government,All,Remote,All,Remote,Years 1-6,89.5,55.9
2024,Victoria,Government,All,Remote,All,Remote,Years 7-10,87.4,55.9
2024,Victoria,Government,All,Remote,All,Remote,Year 1,90.6,55.5
2024,Victoria,Government,All,Remote,All,Remote,Year 2,89.2,49.9
2024,Victoria,Government,All,Remote,All,Remote,Year 3,89.6,48.4
2024,Victoria,Government,All,Remote,All,Remote,Year 4,86.5,54.1
2024,Victoria,Government,All,Remote,All,Remote,Year 5,90.1,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 6,92.2,67.6
2024,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 8,89.7,57.1
2024,Victoria,Government,All,Remote,All,Remote,Year 9,90.2,60
2024,Victoria,Government,All,Remote,All,Remote,Year 10,81.2,42.9
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,91,67.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,91.5,69.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,90.4,66
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,67.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.4,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,91.9,71.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.6,69.8
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.5,69.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.3,68
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.1,73.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.2,64.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.9,63.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.1,62.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,92.2,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,93.5,80.5
2023,Victoria,Government,All,Major Cities,All,Major cities,Years 1-10,89.1,63.6
2023,Victoria,Government,All,Major Cities,All,Major cities,Years 1-6,90.4,67.5
2023,Victoria,Government,All,Major Cities,All,Major cities,Years 7-10,86.9,57.4
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 1,90.1,66.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 2,90.5,68
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 3,90.8,69.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 4,90.5,68
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 5,90.5,67.6
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 6,90.1,66
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 7,89.5,65.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 8,86.7,55.6
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 9,85.8,53.9
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 10,85.8,55.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Primary Ungraded,84.3,48.1
2023,Victoria,Government,All,Major Cities,All,Major cities,Secondary Ungraded,81.6,49
2023,Victoria,Government,All,Remote,All,Remote,Years 1-10,88.1,63.3
2023,Victoria,Government,All,Remote,All,Remote,Years 1-6,89.9,70.5
2023,Victoria,Government,All,Remote,All,Remote,Years 7-10,86.1,54.9
2023,Victoria,Government,All,Remote,All,Remote,Year 1,91.6,68.5
2023,Victoria,Government,All,Remote,All,Remote,Year 2,91.4,78.2
2023,Victoria,Government,All,Remote,All,Remote,Year 3,90.2,76.7
2023,Victoria,Government,All,Remote,All,Remote,Year 4,89.9,72.8
2023,Victoria,Government,All,Remote,All,Remote,Year 5,89.4,61
2023,Victoria,Government,All,Remote,All,Remote,Year 6,87.5,63.6
2023,Victoria,Government,All,Remote,All,Remote,Year 7,89.7,66
2023,Victoria,Government,All,Remote,All,Remote,Year 8,88.4,60.7
2023,Victoria,Government,All,Remote,All,Remote,Year 9,79.3,39.4
2023,Victoria,Government,All,Remote,All,Remote,Year 10,86.6,52.4
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,91.1,69.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,91.7,71.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,90.5,67.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,68.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.5,70.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,92,72.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.8,71.9
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.9,72.6
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.8,71.8
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.3,74.1
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.6,66.4
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.8,64.6
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.3,63.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,94,84
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,95.4,88.5
2022,Victoria,Government,All,Major Cities,All,Major cities,Years 1-10,87.9,56.4
2022,Victoria,Government,All,Major Cities,All,Major cities,Years 1-6,88.7,58
2022,Victoria,Government,All,Major Cities,All,Major cities,Years 7-10,86.9,54.5
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 1,88.2,55.7
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 2,88.8,58.4
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 3,89,59.3
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 4,88.8,58.6
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 5,88.8,58.5
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 6,88.6,57.3
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 7,88.8,60.6
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 8,86.6,52.1
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 9,85.7,50.9
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 10,86.3,54.5
2022,Victoria,Government,All,Major Cities,All,Major cities,Primary Ungraded,81.8,39.1
2022,Victoria,Government,All,Major Cities,All,Major cities,Secondary Ungraded,80.1,43.6
2022,Victoria,Government,All,Remote,All,Remote,Years 1-10,86.5,47.9
2022,Victoria,Government,All,Remote,All,Remote,Years 1-6,88,51.4
2022,Victoria,Government,All,Remote,All,Remote,Years 7-10,84.2,42.5
2022,Victoria,Government,All,Remote,All,Remote,Year 1,89.9,55.5
2022,Victoria,Government,All,Remote,All,Remote,Year 2,88.1,42.7
2022,Victoria,Government,All,Remote,All,Remote,Year 3,88.9,44.3
2022,Victoria,Government,All,Remote,All,Remote,Year 4,85.2,56
2022,Victoria,Government,All,Remote,All,Remote,Year 5,88.8,60.6
2022,Victoria,Government,All,Remote,All,Remote,Year 6,87.5,50.8
2022,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,38.5
2022,Victoria,Government,All,Remote,All,Remote,Year 8,85.4,44.1
2022,Victoria,Government,All,Remote,All,Remote,Year 9,86.4,51.4
2022,Victoria,Government,All,Remote,All,Remote,Year 10,78.6,36.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,88.9,55.7
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,89.4,57.5
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,88.4,53.7
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,89,55.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,89.3,57.8
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,89.7,59.4
