Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,Government,All,Major Cities,All,Major cities,Years 1-10,88,57.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Years 1-6,89.8,62.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Years 7-10,85.2,50
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 1,89.7,62.6
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 2,90,63.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 3,90.1,63.9
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 4,90,63.2
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 5,89.5,61.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 6,89.2,59.5
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 7,88.1,58
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 8,84.8,47.1
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 9,83.8,46.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 10,84.3,48.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Primary Ungraded,82.1,41
2024,Victoria,Government,All,Major Cities,All,Major cities,Secondary Ungraded,79.2,42.5
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Years 1-10,85.8,51.4
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Years 1-6,89,59.6
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Years 7-10,80,36.7
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 1,89.7,61.9
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 2,89.8,62.8
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 3,89.6,61.8
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 4,89,59.6
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 5,88.5,57.3
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 6,87.5,54.4
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 7,83.9,44.7
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 8,80.3,35.1
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 9,78,32.5
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Year 10,78.3,35.1
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Primary Ungraded,84,47.6
2024,Victoria,Government,All,Inner Regional,All,Inner regional,Secondary Ungraded,80.9,43.9
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Years 1-10,85.9,51.6
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Years 1-6,88.4,58.1
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Years 7-10,82.4,42.1
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 1,89.1,61.1
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 2,88.8,59.2
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 3,88.7,57.8
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 4,89.1,60.4
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 5,87.7,55.9
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 6,87.2,54.5
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 7,85.7,49.2
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 8,82.2,40.8
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 9,80.2,36.9
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Year 10,81.4,41.7
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Primary Ungraded,83.3,47.8
2024,Victoria,Government,All,Outer Regional,All,Outer regional,Secondary Ungraded,79.7,43.4
2024,Victoria,Government,All,Remote,All,Remote,Years 1-10,88.5,55.9
2024,Victoria,Government,All,Remote,All,Remote,Years 1-6,89.5,55.9
2024,Victoria,Government,All,Remote,All,Remote,Years 7-10,87.4,55.9
2024,Victoria,Government,All,Remote,All,Remote,Year 1,90.6,55.5
2024,Victoria,Government,All,Remote,All,Remote,Year 2,89.2,49.9
2024,Victoria,Government,All,Remote,All,Remote,Year 3,89.6,48.4
2024,Victoria,Government,All,Remote,All,Remote,Year 4,86.5,54.1
2024,Victoria,Government,All,Remote,All,Remote,Year 5,90.1,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 6,92.2,67.6
2024,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 8,89.7,57.1
2024,Victoria,Government,All,Remote,All,Remote,Year 9,90.2,60
2024,Victoria,Government,All,Remote,All,Remote,Year 10,81.2,42.9
2024,Victoria,Government,All,All,All,1st Quarter,Years 1-10,83.6,47.2
2024,Victoria,Government,All,All,All,2nd Quarter,Years 1-10,85.9,51.2
2024,Victoria,Government,All,All,All,3rd Quarter,Years 1-10,87.6,55.4
2024,Victoria,Government,All,All,All,4th Quarter,Years 1-10,90.3,65.1
2024,Victoria,Government,All,All,All,All,Years 1-10,87.5,56.4
2024,Victoria,Government,All,All,All,All,Years 1-6,89.6,61.7
2024,Victoria,Government,All,All,All,All,Years 7-10,84.2,47.3
2024,Victoria,Government,All,All,All,All,Year 1,89.7,62.4
2024,Victoria,Government,All,All,All,All,Year 2,89.9,63.4
2024,Victoria,Government,All,All,All,All,Year 3,90,63.3
2024,Victoria,Government,All,All,All,All,Year 4,89.8,62.5
2024,Victoria,Government,All,All,All,All,Year 5,89.3,60.5
2024,Victoria,Government,All,All,All,All,Year 6,88.9,58.4
2024,Victoria,Government,All,All,All,All,Year 7,87.3,55.3
2024,Victoria,Government,All,All,All,All,Year 8,83.9,44.7
2024,Victoria,Government,All,All,All,All,Year 9,82.6,43.5
2024,Victoria,Government,All,All,All,All,Year 10,83.1,45.9
2024,Victoria,Government,All,All,All,All,Primary Ungraded,82.4,42.2
2024,Victoria,Government,All,All,All,All,Secondary Ungraded,79.6,42.9
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-10,91,67.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 1-6,91.5,69.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Years 7-10,90.4,66
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,67.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.4,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,91.9,71.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.6,69.8
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.5,69.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.3,68
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.1,73.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.2,64.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.9,63.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.1,62.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Primary Ungraded,92.2,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Secondary Ungraded,93.5,80.5
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Years 1-10,89.1,60.1
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Years 1-6,90.5,65.1
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Years 7-10,87.4,54.1
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 1,90.9,67.6
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 2,91.1,68.4
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 3,91,67.8
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 4,90.6,65.5
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 5,89.9,61.2
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 6,89.6,60.7
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 7,89.9,62.1
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 8,87.2,51.9
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 9,86.7,53
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Year 10,85.8,49.1
2024,Victoria,All non-government,All,Inner Regional,All,Inner regional,Secondary Ungraded,64.5,9.2
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Years 1-10,89,59.2
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Years 1-6,89.9,61.7
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Years 7-10,87.6,55
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,90.4,63.3
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,90.6,66.1
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,90.2,63.3
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,90.4,64
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,89.2,58.4
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 6,88.5,54.8
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 7,88.8,57.8
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 8,85.2,45.3
