Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 1,89.7,62.6
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 2,90,63.7
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 3,90.1,63.9
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 4,90,63.2
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 5,89.5,61.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 6,89.2,59.5
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 7,88.1,58
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 8,84.8,47.1
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 9,83.8,46.4
2024,Victoria,Government,All,Major Cities,All,Major cities,Year 10,84.3,48.7
2024,Victoria,Government,All,Remote,All,Remote,Year 1,90.6,55.5
2024,Victoria,Government,All,Remote,All,Remote,Year 2,89.2,49.9
2024,Victoria,Government,All,Remote,All,Remote,Year 3,89.6,48.4
2024,Victoria,Government,All,Remote,All,Remote,Year 4,86.5,54.1
2024,Victoria,Government,All,Remote,All,Remote,Year 5,90.1,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 6,92.2,67.6
2024,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 8,89.7,57.1
2024,Victoria,Government,All,Remote,All,Remote,Year 9,90.2,60
2024,Victoria,Government,All,Remote,All,Remote,Year 10,81.2,42.9
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 1,90.1,66.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 2,90.5,68
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 3,90.8,69.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 4,90.5,68
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 5,90.5,67.6
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 6,90.1,66
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 7,89.5,65.2
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 8,86.7,55.6
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 9,85.8,53.9
2023,Victoria,Government,All,Major Cities,All,Major cities,Year 10,85.8,55.2
2023,Victoria,Government,All,Remote,All,Remote,Year 1,91.6,68.5
2023,Victoria,Government,All,Remote,All,Remote,Year 2,91.4,78.2
2023,Victoria,Government,All,Remote,All,Remote,Year 3,90.2,76.7
2023,Victoria,Government,All,Remote,All,Remote,Year 4,89.9,72.8
2023,Victoria,Government,All,Remote,All,Remote,Year 5,89.4,61
2023,Victoria,Government,All,Remote,All,Remote,Year 6,87.5,63.6
2023,Victoria,Government,All,Remote,All,Remote,Year 7,89.7,66
2023,Victoria,Government,All,Remote,All,Remote,Year 8,88.4,60.7
2023,Victoria,Government,All,Remote,All,Remote,Year 9,79.3,39.4
2023,Victoria,Government,All,Remote,All,Remote,Year 10,86.6,52.4
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 1,88.2,55.7
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 2,88.8,58.4
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 3,89,59.3
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 4,88.8,58.6
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 5,88.8,58.5
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 6,88.6,57.3
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 7,88.8,60.6
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 8,86.6,52.1
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 9,85.7,50.9
2022,Victoria,Government,All,Major Cities,All,Major cities,Year 10,86.3,54.5
2022,Victoria,Government,All,Remote,All,Remote,Year 1,89.9,55.5
2022,Victoria,Government,All,Remote,All,Remote,Year 2,88.1,42.7
2022,Victoria,Government,All,Remote,All,Remote,Year 3,88.9,44.3
2022,Victoria,Government,All,Remote,All,Remote,Year 4,85.2,56
2022,Victoria,Government,All,Remote,All,Remote,Year 5,88.8,60.6
2022,Victoria,Government,All,Remote,All,Remote,Year 6,87.5,50.8
2022,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,38.5
2022,Victoria,Government,All,Remote,All,Remote,Year 8,85.4,44.1
2022,Victoria,Government,All,Remote,All,Remote,Year 9,86.4,51.4
2022,Victoria,Government,All,Remote,All,Remote,Year 10,78.6,36.4
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 1,93.4,80.5
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 2,93.6,80.9
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 3,93.9,82.6
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 4,93.7,81.7
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 5,93.6,81.4
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 6,93.3,80.5
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 7,93,78.8
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 8,90.8,70.6
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 9,90,68.5
2021,Victoria,Government,All,Major Cities,All,Major cities,Year 10,89.8,68.4
2021,Victoria,Government,All,Remote,All,Remote,Year 1,88.7,48.8
2021,Victoria,Government,All,Remote,All,Remote,Year 2,92.2,71.8
2021,Victoria,Government,All,Remote,All,Remote,Year 3,92.3,72.5
2021,Victoria,Government,All,Remote,All,Remote,Year 4,92,79.3
2021,Victoria,Government,All,Remote,All,Remote,Year 5,92,81.5
2021,Victoria,Government,All,Remote,All,Remote,Year 6,91.1,65.1
2021,Victoria,Government,All,Remote,All,Remote,Year 7,90.7,70.1
2021,Victoria,Government,All,Remote,All,Remote,Year 8,89.7,64
2021,Victoria,Government,All,Remote,All,Remote,Year 9,89.9,61
2021,Victoria,Government,All,Remote,All,Remote,Year 10,91,78.3
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 1,92.3,74.2
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 2,92.5,75.4
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 3,93,77.5
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 4,92.8,76.9
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 5,92.8,76.9
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 6,92.4,75.2
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 7,92.7,77.2
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 8,90.5,68.4
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 9,89.6,66.4
2019,Victoria,Government,All,Major Cities,All,Major cities,Year 10,90.1,68.5
2019,Victoria,Government,All,Remote,All,Remote,Year 1,92.2,72.4
2019,Victoria,Government,All,Remote,All,Remote,Year 2,91.1,62.6
2019,Victoria,Government,All,Remote,All,Remote,Year 3,92.4,73.4
2019,Victoria,Government,All,Remote,All,Remote,Year 4,92.5,67.9
2019,Victoria,Government,All,Remote,All,Remote,Year 5,93.3,81.6
2019,Victoria,Government,All,Remote,All,Remote,Year 6,93.1,82.4
2019,Victoria,Government,All,Remote,All,Remote,Year 7,94.4,84.1
2019,Victoria,Government,All,Remote,All,Remote,Year 8,92.1,72.7
2019,Victoria,Government,All,Remote,All,Remote,Year 9,91.1,74.7
2019,Victoria,Government,All,Remote,All,Remote,Year 10,91.4,69.8
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 1,93.1,77.8
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 2,93.4,79.6
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 3,93.6,80.2
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 4,93.5,80
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 5,93.3,79.1
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 6,93.2,78.4
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 7,93.4,80.1
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 8,91.3,71.8
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 9,90.4,69.7
2018,Victoria,Government,All,Major Cities,All,Major cities,Year 10,90.8,71.3
2018,Victoria,Government,All,Remote,All,Remote,Year 1,90.7,75.5
2018,Victoria,Government,All,Remote,All,Remote,Year 2,92.5,67.1
2018,Victoria,Government,All,Remote,All,Remote,Year 3,91.2,73.6
2018,Victoria,Government,All,Remote,All,Remote,Year 4,90.3,74.3
2018,Victoria,Government,All,Remote,All,Remote,Year 5,92.6,74.1
2018,Victoria,Government,All,Remote,All,Remote,Year 6,94.6,88.8
2018,Victoria,Government,All,Remote,All,Remote,Year 7,93.4,83.3
2018,Victoria,Government,All,Remote,All,Remote,Year 8,91.8,70
2018,Victoria,Government,All,Remote,All,Remote,Year 9,93.7,80.7
2018,Victoria,Government,All,Remote,All,Remote,Year 10,91.7,75.2
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 1,93.2,78.7
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 2,93.6,80.4
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 3,93.7,80.8
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 4,93.6,80.2
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 5,93.6,80.8
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 6,93.4,79.3
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 7,93.7,81.1
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 8,91.7,73.1
2017,Victoria,Government,All,Major Cities,All,Major cities,Year 9,90.6,69.4
