Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,67.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.4,68.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,91.9,71.1
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.6,69.8
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.5,69.5
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.3,68
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.1,73.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.2,64.3
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.9,63.6
2024,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.1,62.5
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,90.4,63.3
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,90.6,66.1
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,90.2,63.3
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,90.4,64
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,89.2,58.4
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 6,88.5,54.8
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 7,88.8,57.8
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 8,85.2,45.3
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 9,90.2,64.7
2024,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 10,84.2,44.4
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,91.1,68.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,91.5,70.3
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,92,72.2
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,91.8,71.9
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,91.9,72.6
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,91.8,71.8
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,92.3,74.1
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,90.6,66.4
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,89.8,64.6
2023,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,89.3,63.2
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,89.4,63.7
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,89.9,62.3
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,90.3,62.9
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,89.7,60.3
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,89.4,60.2
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 6,89.4,59.4
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 7,88.5,55.1
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 8,86.1,47.8
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 9,90.9,68.5
2023,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 10,85.8,49.6
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,89,55.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,89.3,57.8
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,89.7,59.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,89.5,58.4
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,89.6,58.2
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,89.2,56.1
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,90,59.9
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,88.4,52.7
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,88,51.6
2022,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,87.1,50.3
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,86.5,42.2
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,86.8,42.9
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,86.8,43.5
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,86.1,38.8
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,86,41.1
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 6,85.6,38.5
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 7,84.8,34
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 8,82.6,28.4
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 9,87.6,51.5
2022,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 10,82,31.2
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,94,83
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,94.3,84.7
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,94.5,85.9
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,94.4,85.6
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,94.5,85.5
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,94.2,84.3
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,94.9,87.5
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,93.6,82
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,92.7,78.1
2021,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,91.9,75
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,92,72.7
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,91.8,70.9
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,91.6,73.7
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,91.9,72.3
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,91.7,72
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 6,91.4,70.4
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 7,91.8,74.9
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 8,88.9,64.3
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 9,91.9,72.8
2021,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 10,87.9,56.9
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,93.1,78
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,93.3,79.2
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,93.7,81
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,93.5,79.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,93.6,80.8
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,93.3,79.7
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,94.3,84.1
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,92.9,77.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,92.5,76.5
2019,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,91.9,74.5
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,92.1,72.8
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,91.8,74.6
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,92.5,76.7
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,92.3,73
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,92.1,71.9
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 6,91.9,71.7
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 7,92,74.4
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 8,91.1,70.3
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 9,92.9,76.7
2019,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 10,89.9,66.7
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 1,93.8,81.4
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 2,94,82.5
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 3,94.2,83.6
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 4,94.1,83.2
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 5,94.3,84.1
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 6,94,82.8
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 7,94.6,85.9
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 8,93.4,80.8
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 9,93,79
2018,Victoria,All non-government,All,Major Cities,All,Major cities,Year 10,92.7,78.2
2018,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 1,92.2,73.6
2018,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 2,93,77.4
2018,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 3,92.9,78.3
2018,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 4,92.9,81.3
2018,Victoria,All non-government,All,Outer Regional,All,Outer regional,Year 5,92.8,77.6
