Calendar year,State/Territory,School Sector,Sex/Gender,Geolocation,Indigenous Status,Disaggregation,School Year Level,Attendance Rate,Attendance Level
2024,Victoria,Government,All,Remote,All,Remote,Years 1-10,88.5,55.9
2024,Victoria,Government,All,Remote,All,Remote,Years 1-6,89.5,55.9
2024,Victoria,Government,All,Remote,All,Remote,Years 7-10,87.4,55.9
2024,Victoria,Government,All,Remote,All,Remote,Year 1,90.6,55.5
2024,Victoria,Government,All,Remote,All,Remote,Year 2,89.2,49.9
2024,Victoria,Government,All,Remote,All,Remote,Year 3,89.6,48.4
2024,Victoria,Government,All,Remote,All,Remote,Year 4,86.5,54.1
2024,Victoria,Government,All,Remote,All,Remote,Year 5,90.1,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 6,92.2,67.6
2024,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,62.3
2024,Victoria,Government,All,Remote,All,Remote,Year 8,89.7,57.1
2024,Victoria,Government,All,Remote,All,Remote,Year 9,90.2,60
2024,Victoria,Government,All,Remote,All,Remote,Year 10,81.2,42.9
2023,Victoria,Government,All,Remote,All,Remote,Years 1-10,88.1,63.3
2023,Victoria,Government,All,Remote,All,Remote,Years 1-6,89.9,70.5
2023,Victoria,Government,All,Remote,All,Remote,Years 7-10,86.1,54.9
2023,Victoria,Government,All,Remote,All,Remote,Year 1,91.6,68.5
2023,Victoria,Government,All,Remote,All,Remote,Year 2,91.4,78.2
2023,Victoria,Government,All,Remote,All,Remote,Year 3,90.2,76.7
2023,Victoria,Government,All,Remote,All,Remote,Year 4,89.9,72.8
2023,Victoria,Government,All,Remote,All,Remote,Year 5,89.4,61
2023,Victoria,Government,All,Remote,All,Remote,Year 6,87.5,63.6
2023,Victoria,Government,All,Remote,All,Remote,Year 7,89.7,66
2023,Victoria,Government,All,Remote,All,Remote,Year 8,88.4,60.7
2023,Victoria,Government,All,Remote,All,Remote,Year 9,79.3,39.4
2023,Victoria,Government,All,Remote,All,Remote,Year 10,86.6,52.4
2022,Victoria,Government,All,Remote,All,Remote,Years 1-10,86.5,47.9
2022,Victoria,Government,All,Remote,All,Remote,Years 1-6,88,51.4
2022,Victoria,Government,All,Remote,All,Remote,Years 7-10,84.2,42.5
2022,Victoria,Government,All,Remote,All,Remote,Year 1,89.9,55.5
2022,Victoria,Government,All,Remote,All,Remote,Year 2,88.1,42.7
2022,Victoria,Government,All,Remote,All,Remote,Year 3,88.9,44.3
2022,Victoria,Government,All,Remote,All,Remote,Year 4,85.2,56
2022,Victoria,Government,All,Remote,All,Remote,Year 5,88.8,60.6
2022,Victoria,Government,All,Remote,All,Remote,Year 6,87.5,50.8
2022,Victoria,Government,All,Remote,All,Remote,Year 7,86.7,38.5
2022,Victoria,Government,All,Remote,All,Remote,Year 8,85.4,44.1
2022,Victoria,Government,All,Remote,All,Remote,Year 9,86.4,51.4
2022,Victoria,Government,All,Remote,All,Remote,Year 10,78.6,36.4
2021,Victoria,Government,All,Remote,All,Remote,Years 1-10,90.9,68.8
2021,Victoria,Government,All,Remote,All,Remote,Years 1-6,91.3,69.6
2021,Victoria,Government,All,Remote,All,Remote,Years 7-10,90.3,67.5
2021,Victoria,Government,All,Remote,All,Remote,Year 1,88.7,48.8
2021,Victoria,Government,All,Remote,All,Remote,Year 2,92.2,71.8
2021,Victoria,Government,All,Remote,All,Remote,Year 3,92.3,72.5
2021,Victoria,Government,All,Remote,All,Remote,Year 4,92,79.3
2021,Victoria,Government,All,Remote,All,Remote,Year 5,92,81.5
2021,Victoria,Government,All,Remote,All,Remote,Year 6,91.1,65.1
2021,Victoria,Government,All,Remote,All,Remote,Year 7,90.7,70.1
2021,Victoria,Government,All,Remote,All,Remote,Year 8,89.7,64
2021,Victoria,Government,All,Remote,All,Remote,Year 9,89.9,61
2021,Victoria,Government,All,Remote,All,Remote,Year 10,91,78.3
2019,Victoria,Government,All,Remote,All,Remote,Years 1-10,92.4,74.4
2019,Victoria,Government,All,Remote,All,Remote,Years 1-6,92.5,73.9
2019,Victoria,Government,All,Remote,All,Remote,Years 7-10,92.2,75.1
2019,Victoria,Government,All,Remote,All,Remote,Year 1,92.2,72.4
2019,Victoria,Government,All,Remote,All,Remote,Year 2,91.1,62.6
2019,Victoria,Government,All,Remote,All,Remote,Year 3,92.4,73.4
2019,Victoria,Government,All,Remote,All,Remote,Year 4,92.5,67.9
2019,Victoria,Government,All,Remote,All,Remote,Year 5,93.3,81.6
2019,Victoria,Government,All,Remote,All,Remote,Year 6,93.1,82.4
2019,Victoria,Government,All,Remote,All,Remote,Year 7,94.4,84.1
2019,Victoria,Government,All,Remote,All,Remote,Year 8,92.1,72.7
2019,Victoria,Government,All,Remote,All,Remote,Year 9,91.1,74.7
2019,Victoria,Government,All,Remote,All,Remote,Year 10,91.4,69.8
2018,Victoria,Government,All,Remote,All,Remote,Years 1-10,92.2,76
2018,Victoria,Government,All,Remote,All,Remote,Years 1-6,91.9,75.1
2018,Victoria,Government,All,Remote,All,Remote,Years 7-10,92.6,77.3
2018,Victoria,Government,All,Remote,All,Remote,Year 1,90.7,75.5
2018,Victoria,Government,All,Remote,All,Remote,Year 2,92.5,67.1
2018,Victoria,Government,All,Remote,All,Remote,Year 3,91.2,73.6
2018,Victoria,Government,All,Remote,All,Remote,Year 4,90.3,74.3
2018,Victoria,Government,All,Remote,All,Remote,Year 5,92.6,74.1
2018,Victoria,Government,All,Remote,All,Remote,Year 6,94.6,88.8
2018,Victoria,Government,All,Remote,All,Remote,Year 7,93.4,83.3
2018,Victoria,Government,All,Remote,All,Remote,Year 8,91.8,70
2018,Victoria,Government,All,Remote,All,Remote,Year 9,93.7,80.7
2018,Victoria,Government,All,Remote,All,Remote,Year 10,91.7,75.2
2017,Victoria,Government,All,Remote,All,Remote,Years 1-10,91.7,72
2017,Victoria,Government,All,Remote,All,Remote,Years 1-6,92.7,75.3
2017,Victoria,Government,All,Remote,All,Remote,Years 7-10,90.2,67.5
2017,Victoria,Government,All,Remote,All,Remote,Year 1,92.7,80.4
2017,Victoria,Government,All,Remote,All,Remote,Year 2,91,67.5
2017,Victoria,Government,All,Remote,All,Remote,Year 3,93,69.3
2017,Victoria,Government,All,Remote,All,Remote,Year 4,92.6,75.3
2017,Victoria,Government,All,Remote,All,Remote,Year 5,93.6,81.7
2017,Victoria,Government,All,Remote,All,Remote,Year 6,93.8,79.8
2017,Victoria,Government,All,Remote,All,Remote,Year 7,89.4,61.5
2017,Victoria,Government,All,Remote,All,Remote,Year 8,91.2,68.8
2017,Victoria,Government,All,Remote,All,Remote,Year 9,91.2,71.9
2017,Victoria,Government,All,Remote,All,Remote,Year 10,88.6,65.9
2016,Victoria,Government,All,Remote,All,Remote,Years 1-10,91.5,73.1
2016,Victoria,Government,All,Remote,All,Remote,Years 1-6,92.3,76.2
2016,Victoria,Government,All,Remote,All,Remote,Years 7-10,90.6,69.1
2016,Victoria,Government,All,Remote,All,Remote,Year 1,90.3,71.8
2016,Victoria,Government,All,Remote,All,Remote,Year 2,92.5,82.7
2016,Victoria,Government,All,Remote,All,Remote,Year 3,92.3,69.1
2016,Victoria,Government,All,Remote,All,Remote,Year 4,92.9,72.2
2016,Victoria,Government,All,Remote,All,Remote,Year 5,94.1,87.1
2016,Victoria,Government,All,Remote,All,Remote,Year 6,91.9,75
2016,Victoria,Government,All,Remote,All,Remote,Year 7,92.2,75.2
2016,Victoria,Government,All,Remote,All,Remote,Year 8,90.3,66.8
2016,Victoria,Government,All,Remote,All,Remote,Year 9,88.9,65.6
2016,Victoria,Government,All,Remote,All,Remote,Year 10,90.8,68.6
2015,Victoria,Government,All,Remote,All,Remote,Years 1-10,89.6,70.2
2015,Victoria,Government,All,Remote,All,Remote,Years 1-6,93.2,78.2
2015,Victoria,Government,All,Remote,All,Remote,Years 7-10,88.7,68.1
2015,Victoria,Government,All,Remote,All,Remote,Year 1,92.6,80.4
2015,Victoria,Government,All,Remote,All,Remote,Year 2,92.8,71.5
2015,Victoria,Government,All,Remote,All,Remote,Year 3,94.7,77.8
2015,Victoria,Government,All,Remote,All,Remote,Year 4,94,84.8
2015,Victoria,Government,All,Remote,All,Remote,Year 5,92.4,78.6
2015,Victoria,Government,All,Remote,All,Remote,Year 6,92.6,76.8
2015,Victoria,Government,All,Remote,All,Remote,Year 7,90,73.3
2015,Victoria,Government,All,Remote,All,Remote,Year 8,88,63
2015,Victoria,Government,All,Remote,All,Remote,Year 9,88,68.5
2015,Victoria,Government,All,Remote,All,Remote,Year 10,88.7,67.5
2015,Victoria,All non-government,All,Remote,All,Remote,Years 1-10,95.8,95.2
2015,Victoria,All non-government,All,Remote,All,Remote,Years 1-6,95.8,95.2
2015,Victoria,All non-government,All,Remote,All,Remote,Year 2,95.1,100
2014,Victoria,Government,All,Remote,All,Remote,Years 1-10,91.7,NA
